ID,Target
hsa-mir-16-5p,DSP
hsa-mir-16-5p,EFNB2
hsa-mir-16-5p,GARS
hsa-mir-16-5p,NR6A1
hsa-mir-16-5p,GTF3C1
hsa-mir-16-5p,HNRNPA1
hsa-mir-16-5p,HNRNPF
hsa-mir-16-5p,HNRNPL
hsa-mir-16-5p,DNAJA1
hsa-mir-16-5p,IDH3A
hsa-mir-16-5p,IGF1R
hsa-mir-16-5p,ITPR1
hsa-mir-16-5p,JARID2
hsa-mir-16-5p,KCNC4
hsa-mir-16-5p,KRAS
hsa-mir-16-5p,CAPRIN1
hsa-mir-16-5p,MSH2
hsa-mir-16-5p,02-Sep
hsa-mir-16-5p,PAFAH1B1
hsa-mir-16-5p,PAK2
hsa-mir-16-5p,PHKA1
hsa-mir-16-5p,SERPINE2
hsa-mir-16-5p,PLEC
hsa-mir-16-5p,PMS1
hsa-mir-16-5p,PPT1
hsa-mir-16-5p,PRIM1
hsa-mir-16-5p,PSKH1
hsa-mir-16-5p,PSPH
hsa-mir-16-5p,PTPRD
hsa-mir-16-5p,PTPRJ
hsa-mir-16-5p,RAD23B
hsa-mir-16-5p,SLC4A2
hsa-mir-16-5p,SMARCA4
hsa-mir-16-5p,SP1
hsa-mir-16-5p,SRP68
hsa-mir-16-5p,SUPT5H
hsa-mir-16-5p,TCP1
hsa-mir-16-5p,TFAP4
hsa-mir-16-5p,TFPI
hsa-mir-16-5p,NR2C2
hsa-mir-16-5p,UBE2H
hsa-mir-16-5p,VAV2
hsa-mir-16-5p,VCL
hsa-mir-16-5p,XPO1
hsa-mir-16-5p,LUZP1
hsa-mir-16-5p,CSDE1
hsa-mir-16-5p,MAFK
hsa-mir-16-5p,HYAL3
hsa-mir-16-5p,ULK1
hsa-mir-16-5p,CASK
hsa-mir-16-5p,EIF3A
hsa-mir-16-5p,CDC23
hsa-mir-16-5p,RNMT
hsa-mir-16-5p,RIOK3
hsa-mir-16-5p,SYNJ1
hsa-mir-16-5p,CCNE2
hsa-mir-16-5p,AURKB
hsa-mir-16-5p,GTF3C4
hsa-mir-16-5p,UBE4A
hsa-mir-16-5p,LITAF
hsa-mir-16-5p,BZW1
hsa-mir-16-5p,UBE3C
hsa-mir-16-5p,ARHGAP32
hsa-mir-16-5p,CKAP5
hsa-mir-16-5p,TSC22D2
hsa-mir-16-5p,ARMCX2
hsa-mir-16-5p,SPATA2
hsa-mir-16-5p,LRIG2
hsa-mir-16-5p,G3BP2
hsa-mir-16-5p,KIF14
hsa-mir-16-5p,USP3
hsa-mir-16-5p,HNRNPDL
hsa-mir-16-5p,DMTF1
hsa-mir-16-5p,PDIA6
hsa-mir-16-5p,RCL1
hsa-mir-16-5p,RBM6
hsa-mir-16-5p,MERTK
hsa-mir-16-5p,TGOLN2
hsa-mir-16-5p,IVNS1ABP
hsa-mir-16-5p,CAMKK2
hsa-mir-16-5p,TCFL5
hsa-mir-16-5p,NUP50
hsa-mir-16-5p,TOB2
hsa-mir-16-5p,UTP14A
hsa-mir-16-5p,WDR3
hsa-mir-16-5p,SLC27A4
hsa-mir-16-5p,ATF7
hsa-mir-16-5p,ERLIN2
hsa-mir-16-5p,NXPH2
hsa-mir-16-5p,TRIM32
hsa-mir-16-5p,PHLPP2
hsa-mir-16-5p,TRIM35
hsa-mir-16-5p,WDR43
hsa-mir-16-5p,RCOR1
hsa-mir-16-5p,NUP160
hsa-mir-16-5p,FBXW11
hsa-mir-16-5p,DOCK9
hsa-mir-16-5p,SH3BP4
hsa-mir-16-5p,SZRD1
hsa-mir-16-5p,SND1
hsa-mir-16-5p,AGO2
hsa-mir-16-5p,PDCD4
hsa-mir-16-5p,UTP20
hsa-mir-16-5p,NOB1
hsa-mir-16-5p,RACGAP1
hsa-mir-16-5p,RBM15B
hsa-mir-16-5p,SEC61A1
hsa-mir-16-5p,SNX12
hsa-mir-16-5p,ANKMY1
hsa-mir-16-5p,TMEM138
hsa-mir-16-5p,RAB23
hsa-mir-16-5p,ATP8A2
hsa-mir-16-5p,GALNT7
hsa-mir-16-5p,DNAJC10
hsa-mir-16-5p,ZRANB1
hsa-mir-16-5p,TRIM44
hsa-mir-16-5p,IMPAD1
hsa-mir-16-5p,HERC6
hsa-mir-16-5p,C17orf80
hsa-mir-16-5p,CDCA4
hsa-mir-16-5p,PLEKHB2
hsa-mir-16-5p,PDPR
hsa-mir-16-5p,RBM28
hsa-mir-16-5p,ELP3
hsa-mir-16-5p,TBCCD1
hsa-mir-16-5p,SETD5
hsa-mir-16-5p,AGPAT5
hsa-mir-16-5p,SLC39A9
hsa-mir-16-5p,LSG1
hsa-mir-16-5p,DNAJA4
hsa-mir-16-5p,CDV3
hsa-mir-16-5p,CENPJ
hsa-mir-16-5p,CYP26B1
hsa-mir-16-5p,OTUD7B
hsa-mir-16-5p,PLSCR4
hsa-mir-16-5p,RALGAPB
hsa-mir-16-5p,ACTR3B
hsa-mir-16-5p,SLC39A10
hsa-mir-16-5p,SIPA1L2
hsa-mir-16-5p,NCKAP5L
hsa-mir-16-5p,RAP2C
hsa-mir-16-5p,RPRD1B
hsa-mir-16-5p,ELAC2
hsa-mir-16-5p,SPCS3
hsa-mir-16-5p,PDF
hsa-mir-16-5p,NCAPG
hsa-mir-16-5p,ATL2
hsa-mir-16-5p,ZMAT3
hsa-mir-16-5p,COPS7B
hsa-mir-16-5p,C16orf58
hsa-mir-16-5p,DDX31
hsa-mir-16-5p,UBE2Z
hsa-mir-16-5p,WNK3
hsa-mir-16-5p,MIS12
hsa-mir-16-5p,ATG9A
hsa-mir-16-5p,YRDC
hsa-mir-16-5p,CAAP1
hsa-mir-16-5p,ATAD5
hsa-mir-16-5p,NAA25
hsa-mir-16-5p,DCAF17
hsa-mir-16-5p,UTP15
hsa-mir-16-5p,USP48
hsa-mir-16-5p,TUBA1C
hsa-mir-16-5p,ZCCHC3
hsa-mir-16-5p,TRIM4
hsa-mir-16-5p,TMEM41A
hsa-mir-16-5p,YTHDC1
hsa-mir-16-5p,SCAMP4
hsa-mir-16-5p,LARP4
hsa-mir-16-5p,PWWP2A
hsa-mir-16-5p,THEM4
hsa-mir-16-5p,EARS2
hsa-mir-16-5p,ANKRD13B
hsa-mir-16-5p,CCDC80
hsa-mir-16-5p,PAQR3
hsa-mir-16-5p,CAMSAP1
hsa-mir-16-5p,CXorf38
hsa-mir-16-5p,GPR180
hsa-mir-16-5p,PRICKLE2
hsa-mir-16-5p,AGO4
hsa-mir-16-5p,SCAMP5
hsa-mir-16-5p,TET3
hsa-mir-17-5p,ABCA1
hsa-mir-17-5p,APEX1
hsa-mir-17-5p,ATP1B3
hsa-mir-17-5p,KIF1A
hsa-mir-17-5p,BCL2
hsa-mir-17-5p,BCL2L2
hsa-mir-17-5p,DDX5
hsa-mir-17-5p,DHODH
hsa-mir-17-5p,E2F1
hsa-mir-17-5p,EPB41L2
hsa-mir-17-5p,ERCC2
hsa-mir-17-5p,ETF1
hsa-mir-17-5p,ETV1
hsa-mir-17-5p,KAT2A
hsa-mir-17-5p,HIF1A
hsa-mir-17-5p,IFNAR1
hsa-mir-17-5p,ITGB1
hsa-mir-17-5p,KIF5C
hsa-mir-17-5p,LDLR
hsa-mir-17-5p,M6PR
hsa-mir-17-5p,MYO1D
hsa-mir-17-5p,02-Sep
