ID,Target
SP1,CD83
SP1,ADGRE5
SP1,CENPW
SP1,CREM
SP1,FES
SP1,FOS
SP1,FXR2
SP1,GFER
SP1,GPR39
SP1,GSTP1
SP1,HRAS
SP1,HRAS
SP1,ICAM1
SP1,IFNGR1
SP1,IRS2
SP1,IRS2
SP1,ITGAV
SP1,ITGAV
SP1,LMO4
SP1,LTC4S
SP1,MAT2B
SP1,MDM2
SP1,MDM2
SP1,MGMT
SP1,NDUFV1
SP1,NFKB1
SP1,OAT
SP1,P2RX4
SP1,P4HA1
SP1,POLD2
SP1,PSIP1
SP1,RASSF1
SP1,RPS3A
SP1,SIGIRR
SP1,SLC19A2
SP1,SLC25A20
SP1,SNRPN
SP1,SQSTM1
SP1,TICAM1
SP1,TNFSF10
SP1,VAMP2
SP1,XIAP
SP1,YY1
SP3,CD83
SP3,ADGRE5
SP3,ITGAV
SP3,LTC4S
SP3,NFKB1
SP3,RASSF1
SP3,YY1
SP4,NFKB1
SP4,YY1
SPDEF,SQSTM1
SPEN,DMPK
SPI1,CTSS
SPI1,DAPK2
SPI1,FES
SPI1,IFIT3
SPI1,ITGA2B
SRCAP,PCK2
SREBF1,BCL2L1
SREBF1,IRS2
SREBF2,ACOT7
SREBF2,PON2
SRF,DMD
SRF,FOS
SRF,FOS
SRF,FXN
SRF,LMO7
SRSF1,NFKB1
SRY,PROM1
SSB,XIAP
STAT1,FCGRT
STAT1,HSP90AA1
STAT1,ICAM1
STAT1,IFIT3
STAT1,NOS2
STAT1,NOS2
STAT1,PPARA
STAT2,IFIT3
STAT2,NOS2
STAT3,AKAP12
STAT3,BCL2L1
STAT3,BCL2L1
STAT3,BCL2L1
STAT3,CISH
STAT3,DIRAS3
STAT3,EPAS1
STAT3,FOS
STAT3,GFAP
STAT3,GFAP
STAT3,ICAM1
STAT3,NLK
STAT3,PHB
STAT3,PPARA
STAT3,PRDM1
STAT3,PRDM1
STAT3,PROS1
STAT3,ROR1
STAT3,TWIST2
STAT3,ZFP36
STAT5A,BCL2L1
STAT5B,BCL2L1
STAT6,CISH
STAT6,FOS
STAT6,FOS
STAT6,ITGA2B
TAL1,ANGPT2
TAL1,NFKB1
TBP,FOS
TBX21,YY1
TBX5,NPPA
TCF3,BBC3
TCF4,CD44
TCF4,KLF4
TCF4,PLD1
TCF7L2,STARD7
TFAP2A,ECM1
TFAP2A,KLF12
TFAP2A,OAT
TFAP2A,POLD2
TFAP2C,ECM1
TFAP2C,ECM1
TFAP4,MDM2
TNFAIP3,NFKB1
TNFAIP3,NFKB1
TP53,BBC3
TP53,BBC3
TP53,BCL2L1
TP53,BCL2L1
TP53,FOXO3
TP53,GSTP1
TP53,HRAS
TP53,MDM2
TP53,MDM2
TP53,MGMT
TP53,MGMT
TP53,NFKB1
TP53,PPARGC1A
TP53,RASSF1
TP53,RRM2B
TP53,SIVA1
TP53,SIVA1
TP63,KLF4
TP63,PPARA
TP73,BBC3
TP73,MDM2
TRAF6,TICAM1
TRIM22,NFKB1
TRIM25,DDX58
TSC22D3,FOXO3
TWIST1,CD44
TWIST1,FOS
TWIST1,ICAM1
TWIST1,MAPK3
TWIST1,RAP1A
TWIST2,CD44
TWIST2,FOS
TWIST2,ICAM1
TWIST2,RAP1A
UHRF1,TOP2A
USF1,NFKB1
USF1,P4HA1
USF2,EPAS1
USF2,P4HA1
VDR,NCOR1
VDR,PHB
VDR,PLD1
VHL,ANGPT2
VHL,TFRC
WT1,ADGRE5
WT1,CXXC5
WT1,PDGFA
WT1,PDGFA
XBP1,NOS2
YBX1,CCNC
YBX1,TOP2A
YY1,COX6A1
YY1,EPAS1
YY1,GNAS
YY1,NOS2
YY1,SNRPN
YY1,SURF2
YY1,TFRC
YY1,VWF
ZBTB2,ARF1
ZBTB2,MDM2
ZBTB7A,FOS
ZBTB7A,PFKP
ZIC1,JUND
ZIC3,NPPA
ZNF148,IRS2
ZNF335,REST
ZNF382,NFKB1
