"","logFC","pvalue","padj"
"RPS6",0.124354305399186,1.89313230333352e-10,1.39650630656537e-09
"COL4A1",-0.0101268981519312,0.534939101805429,0.602112347091257
"ENO1",-0.0289467676011971,0.025257961355196,0.0406451832171868
"RACK1",0.0293543742297453,0.0831341784102193,0.119198764266361
"PPP1R12B",0.02326001291894,0.244662157332679,0.307911208716858
"NES",-0.0525403512946733,0.000230863344803173,0.000559027059584661
"DDX17",-0.0358664293174908,0.0166976206202482,0.0280885293601545
"RPL3",-0.000474235020516789,0.961726192557928,0.969765896816629
"HSP90AB1",-0.0586389689683532,1.71019213240503e-14,2.48932207486901e-13
"MT-ATP8",-0.00561194313134856,0.715676769555663,0.766326471965924
"SPTBN1",-0.041767901816513,0.00809699635124648,0.0146140970858961
"EIF4G2",-0.0155431079502299,0.274172375724133,0.33944903400362
"HSPG2",-0.181297823611575,5.60294714552846e-09,3.18542444080131e-08
"RPS4X",0.0684196007157019,0.000497028483491234,0.0011269550559271
"COL18A1",-0.13032315606457,4.38993913576876e-21,1.72971559542889e-19
"TNNT2",-0.0458419732152692,0.0329429384046383,0.0517017813084589
"MDH1",0.110612436770322,2.03907500731378e-19,6.34692511823064e-18
"MYH6",-0.223148903912902,2.34569570409443e-10,1.70622216245396e-09
"DES",0.233525147030812,5.09935767464491e-25,3.02299194512359e-23
"HSP90AA1",0.0886797968716185,0.00154835780885158,0.00321710312266261
"MT-RNR1",0.142109086636607,7.69239385279161e-11,6.03187269844355e-10
"SPARC",0.0542439969337607,3.70401437054844e-09,2.1604541780274e-08
"FSTL1",-0.021027373802903,0.0860448981767511,0.122845929066359
"MYL6",0.107063173374027,9.2699261079765e-06,2.89715735203042e-05
"FABP3",0.16936357254003,5.15046391720778e-13,5.79571616982087e-12
"SLC25A3",0.0332199952833207,3.29505873392804e-05,9.26366803360413e-05
"HSPB1",0.199297875885423,4.24104406847405e-13,4.84765089754939e-12
"NAP1L1",0.035621758780121,0.0206516398228527,0.0339388465939573
"FBN2",-0.0638217431143318,9.72952250982417e-05,0.000251770699549855
"HSPA8",0.014408042956868,0.324144417938984,0.392816530269488
"LAPTM4B",0.00732141604472041,0.524472010802235,0.591965726082453
"STMN1",0.0488270893815456,1.07235063344175e-05,3.31020046422422e-05
"POSTN",-0.0450132474515547,0.0287620459307423,0.0456788362187946
"NAV1",0.00605229108188784,0.709681144959216,0.760843525898733
"RPS3",0.0772105290346424,0.00011326607980862,0.000289423239197496
"APP",-0.0604659784165634,2.18829201722989e-07,9.29632068036229e-07
"LDHA",0.0117506061568553,0.309452434456943,0.377325977018273
"RPL4",0.07760250575572,4.25505161902447e-10,2.95970043815025e-09
"MYH9",-0.0974750543613156,2.94732134564703e-09,1.74727353495559e-08
"RPL5",0.0827634890169237,5.96073105577699e-08,2.82896122377888e-07
"AHNAK",-0.0117964000431078,0.537371342737769,0.604328451494868
"COL6A2",0.0184705327181996,0.248246899014916,0.311790837533949
"PABPC1",-0.0567646547432581,1.77973137398804e-17,4.17468643517123e-16
"MDK",0.0767798513870699,0.00563933642746464,0.0105053886140542
"TPM2",0.0265419314421696,0.157128026155991,0.209450502568114
"LBH",0.054732202072442,1.91447881577539e-07,8.22689710554947e-07
"EEF1A2",0.135737902150815,3.29244214517806e-11,2.75786965044394e-10
"PDLIM5",0.0490076287961781,1.56800475881944e-07,6.84401541650708e-07
"VCAN",-0.142981635714653,1.38313382645951e-18,3.75182583447209e-17
"FUS",-0.0714661979966127,4.38546706800001e-10,3.04068375868453e-09
"CTNNB1",-0.00959353065529117,0.446125805120788,0.516683487291122
"RPL11",0.109352930351578,8.77232305393323e-07,3.28571617660532e-06
"NCL",-0.050005976439218,1.0392331650368e-14,1.57417873849128e-13
"SPTAN1",-0.063332115839187,1.58536973692094e-06,5.64928746145434e-06
"IDH2",0.0231081563546237,0.0188223356492337,0.0312475689329564
"ILF3",-0.0839344705376941,5.90843561727526e-13,6.55811211238332e-12
"CSDE1",-0.0257068291705766,0.0137541151462133,0.02358726755252
"RPS8",0.104459760017603,3.50647898505532e-07,1.43000309327991e-06
"CALR",-0.00180531133462532,0.839653524220508,0.87159831764437
"XIRP1",-0.0609571562665713,5.39154745589138e-05,0.000145643251697878
"PFKP",0.0385079531895011,0.00177160913962505,0.00363405574064012
"RPLP1",0.166979956471285,1.27452138228211e-09,8.1402095336549e-09
"CTNNA1",-0.0296100470652023,0.00157528927240681,0.00326732231086667
"ATP1A1",-0.0671750566808646,6.03823763628936e-15,9.45386497628882e-14
"PYGB",0.034704446082155,0.00432410188231427,0.00824366857902977
"CRIP2",0.154820415217365,1.23955032062934e-10,9.38804604044588e-10
"MAP4",-0.0131333502738998,0.240990644415838,0.303994582113488
"HNRNPH1",-0.0668182966240184,2.08951883927566e-08,1.07798673662315e-07
"SLC25A4",0.101203432538338,2.47459782608446e-14,3.50420248075935e-13
"HNRNPU",-0.0396782560687286,5.72437988620235e-06,1.85299981325021e-05
"NUCKS1",0.041246766415895,0.0966311303041275,0.136584285404404
"LAMB1",-0.0592174505033991,7.68724742859912e-10,5.10733983513957e-09
"RPS11",0.150718614481821,1.66023866970245e-08,8.70990858015261e-08
"RPL37A",0.188479846725704,9.0263831635571e-10,5.92759764446685e-09
"UNC45B",-0.0148928834535892,0.1683030324389,0.222230584879973
"DDX5",-0.0296191668822318,0.0205915328727398,0.0338656710878023
"CKM",0.189468323603166,5.92633737844687e-11,4.73888976638283e-10
"MYH7B",-0.0155246898079124,0.416292320727363,0.486451433287902
"PLEC",-0.0468502918022409,0.0101363231502254,0.0179008702133025
"PALLD",-0.00529923953102614,0.684855966644988,0.737806997933582
"SFPQ",-0.0380863668724279,1.86172105552051e-05,5.45385579651808e-05
"QKI",0.024072985461287,0.0904270687051647,0.128567516630629
"ALPK3",-0.0882450841386988,1.74531151401442e-06,6.16031197991233e-06
"COL6A3",-0.0508855460348189,0.00446031346865628,0.00847732559869065
"RPS24",0.163146787481059,1.13202292949508e-09,7.28718807822052e-09
"COL6A1",0.00451940054415172,0.742899766339538,0.790027621705827
"MYO18A",-0.126064020989996,6.17802965953296e-06,1.99193727613421e-05
"RPS14",0.16015753965906,2.47774169345284e-09,1.49328591340166e-08
