"","logFC","pvalue","padj","piValue","rank"
"ZNF826P",-0.125634488072182,1.50125501993047e-07,6.58351310354178e-07,-6.1815422956974,-176
"MEDAG",-0.114223060422502,1.29950093875751e-07,5.77644554985528e-07,-6.238339316065,-175
"COL8A2",-0.12620933919951,1.28642713665814e-07,5.7232752072256e-07,-6.24235537027092,-174
"VAT1L",-0.112859450631492,1.22068213447555e-07,5.45583838171011e-07,-6.26313850326563,-173
"MTCL1",-0.100773845133843,1.12024546687629e-07,5.04497285186483e-07,-6.2971411664572,-172
"LOXL4",-0.121984659499683,1.10194659910964e-07,4.96771086954303e-07,-6.30384368888141,-171
"OPHN1",-0.1217904685841,9.85432347907975e-08,4.47493338489408e-07,-6.34921342532868,-170
"WDR73",-0.121079074452883,9.82408802079502e-08,4.46586810621153e-07,-6.35009410741558,-169
"PPP2R5D",-0.113610940066838,9.70555173437297e-08,4.41506123891497e-07,-6.3550632681819,-168
"GTF2I",-0.126114657004871,9.15741571992544e-08,4.18322297090254e-07,-6.37848898637518,-167
"CERS2",-0.100103279011939,9.04298086981803e-08,4.13819496505848e-07,-6.38318905203316,-166
"KMT2D",-0.127749480456329,8.98950520115755e-08,4.11661259949076e-07,-6.38546000106657,-165
"SATB2",-0.106438678821829,8.49736574371934e-08,3.91184765370941e-07,-6.40761806708528,-164
"SLC35E2B",-0.133242904803247,7.86945912529604e-08,3.64594976597197e-07,-6.43818931936493,-163
"CUX2",-0.105762299657739,7.59442150580106e-08,3.52603934776281e-07,-6.45271284563258,-162
"TUBB",-0.103422667614237,7.56672595888166e-08,3.51443162235522e-07,-6.45414490200526,-161
"MAT2A",-0.120345997175146,7.56024859961049e-08,3.51267410887496e-07,-6.45436214035386,-160
"AL390728.4",-0.163302963846723,7.24223303466115e-08,3.38057277158378e-07,-6.47100971082767,-159
"SLC29A4",-0.116476830464732,6.72547880072869e-08,3.15403432287319e-07,-6.50113358489636,-158
"ADAT1",-0.101803567526581,6.2784041404295e-08,2.95713061753274e-07,-6.52912949210531,-157
"PCYT1B",-0.105999243446857,6.21187927359225e-08,2.93109006824132e-07,-6.53297083610295,-156
"CRISPLD2",-0.116542182278936,6.0516535748461e-08,2.86689669172332e-07,-6.54258795652086,-155
"PMEL",-0.166250647970911,4.70726828997185e-08,2.2746273819123e-07,-6.64308973713143,-154
"PTPRD-AS1",-0.13220796038671,4.46683226063848e-08,2.16566640681216e-07,-6.66440844006452,-153
"AC110079.1",-0.163544513921112,4.22384985288681e-08,2.05857435655268e-07,-6.68643344148782,-152
"AC139769.1",-0.103023978203942,4.06774333380011e-08,1.98694788612064e-07,-6.70181352346242,-151
