ID,Accession,Target,TargetID,Experiment,Literature,Tissue
JARID2,3720,MYH6,4624,Unknown,18805276,Not Applicable
JUN,3725,CCND1,595,+,10500157;16393119;19435822;20220142,Not Applicable
JUN,3725,CCND1,595,-,21474819,Not Applicable
JUN,3725,CCND1,595,Unknown,14672732,Not Applicable
JUN,3725,MAT2A,4144,+,14530285,Not Applicable
JUN,3725,NOS3,4846,Unknown,11382920,Not Applicable
JUN,3725,PENK,5179,Unknown,7935470,Not Applicable
JUN,3725,PLAT,5327,+,1963081,Not Applicable
JUN,3725,PLAT,5327,Unknown,9851700,Not Applicable
JUN,3725,SLC19A1,6573,Unknown,11078737,Not Applicable
JUN,3725,TNC,3371,+,9154819,Not Applicable
JUN,3725,VCAM1,7412,+,16271621,Not Applicable
JUND,3727,CCND1,595,+,20220142,Not Applicable
JUND,3727,PLAT,5327,Unknown,9851700,Not Applicable
KDM4B,23030,CCND1,595,Unknown,20682797,Not Applicable
KDM4C,23081,JAG1,182,+,23698634,Not Applicable
KLF2,10365,NOS3,4846,+,22987017,Not Applicable
KLF4,9314,CCND1,595,+,21132436;21224073,Not Applicable
KLF4,9314,CCND1,595,-,10908361;19737957,Not Applicable
KLF5,688,CCND1,595,+,19189969,Not Applicable
KLF5,688,FASN,2194,+,18774944,Not Applicable
KLF5,688,NOTCH1,4851,+,21868761,Not Applicable
KLF6,1316,CCND1,595,-,18822210,Not Applicable
KLF6,1316,CERS2,29956,+,22169644,Not Applicable
KLF6,1316,TFPI2,7980,Unknown,18053161,Not Applicable
KLF8,11279,EPSTI1,94240,+,24096480,Not Applicable
KLF8,11279,FN1,2335,-,20728449,Not Applicable
LEF1,51176,CCND1,595,Unknown,10318916;19620402,Not Applicable
LEF1,51176,HERC2,8924,Unknown,22234890,Not Applicable
LEF1,51176,NRCAM,4897,+,12183361,Not Applicable
LEF1,51176,NT5E,4907,Unknown,10428853,Not Applicable
LIN28A,79727,CCND1,595,Unknown,22467868,Not Applicable
