ID,Accession,Target,TargetID,Experiment,Literature,Tissue
JUN,3725,NQO1,1728,Unknown,11035254;8004128,Not Applicable
JUN,3725,RELB,5971,Unknown,15596805,Not Applicable
JUNB,3726,NQO1,1728,Unknown,11035254,Not Applicable
JUND,3727,F3,2152,Unknown,11057875,Not Applicable
JUND,3727,NQO1,1728,Unknown,11035254,Not Applicable
JUND,3727,SOX4,6659,+,23482931,Not Applicable
KDM4B,23030,CCNA1,8900,Unknown,20682797,Not Applicable
KHDRBS1,10657,IGF2,3481,+,12849008,Not Applicable
KLF1,10661,HBB,3043,Unknown,21539536,Not Applicable
KLF2,10365,FABP5,2171,-,20424164,Not Applicable
KLF3,51274,CKM,1158,+,20404088,Not Applicable
KLF4,9314,CD14,929,+,17762869,Not Applicable
KLF4,9314,HBA1,3039,+,20331458,Not Applicable
KLF4,9314,SOD1,6647,-,23370975,Not Applicable
KLF6,1316,ASAH1,427,Unknown,16500425,Not Applicable
KLF6,1316,LTC4S,4056,Unknown,10722737,Not Applicable
LEF1,51176,TCF4,6925,Unknown,19174556,Not Applicable
LMO2,4005,FGF2,2247,+,20955387,Not Applicable
MAFG,4097,NQO1,1728,Unknown,11013233,Not Applicable
MAFK,7975,NQO1,1728,Unknown,11013233,Not Applicable
MAL,4118,MYL9,10398,Unknown,19724058,Not Applicable
MBD1,4152,IGF2,3481,Unknown,19666599,Not Applicable
MBD1,4152,MGMT,4255,-,15657354,Not Applicable
MECP2,4204,MGMT,4255,Unknown,15657354,Not Applicable
MEF2A,4205,SLC2A4,6517,+,14630949;18198354,Not Applicable
MEF2A,4205,SLC2A4,6517,Unknown,15294043,Not Applicable
MEF2A,4205,TNNI3,7137,Unknown,10652194,Not Applicable
MEF2C,4208,NR4A1,3164,-,18079734,Not Applicable
MEF2D,4209,CD14,929,+,12213324,Not Applicable
MEN1,4221,CDKN2C,1031,-,10523037,Not Applicable
MITF,4286,FOS,2353,+,14737107,Not Applicable
MITF,4286,GPNMB,10457,+,18983539,Not Applicable
MITF,4286,SERPINF1,5176,+,22115973,Not Applicable
MSX1,4487,DLK1,8788,+,18201699,Not Applicable
MSX2,4488,SOD1,6647,+,22824755,Not Applicable
MTF1,4520,SOD1,6647,+,15378601,Not Applicable
MYB,4602,CCNA1,8900,+,10590070,Not Applicable
MYB,4602,IL15,3600,+,11675351,Not Applicable
MYB,4602,LMO2,4005,+,20686118,Not Applicable
MYB,4602,NR3C1,2908,Unknown,22516378,Not Applicable
MYBL2,4605,CCNA1,8900,Unknown,11264176;15922873,Not Applicable
MYC,4609,HLA-A,3105,+,8206526,Not Applicable
MYC,4609,HLA-B,3106,+,8206526,Not Applicable
MYC,4609,JUNB,3726,-,18838534,Not Applicable
MYC,4609,ST3GAL4,6484,+,22547830,Not Applicable
MYC,4609,SURF1,6834,+,10858544,Not Applicable
MYCN,4613,CTSD,1509,+,18566016,Not Applicable
MYCN,4613,HLA-A,3105,Unknown,8895520,Not Applicable
MYCN,4613,HLA-B,3106,Unknown,8895520,Not Applicable
NANOG,79923,KLF2,10365,+,22378194,Not Applicable
NCOA6,23054,FOS,2353,+,19329434,Not Applicable
NCOR1,9611,G0S2,50486,-,23098689,Not Applicable
NF1,4763,FOS,2353,+,9562250,Not Applicable
NFATC3,4775,CTSD,1509,+,16219765,Not Applicable
NFE2,4778,TBXA2R,6915,Unknown,18698092,Not Applicable
NFE2L1,4779,NQO1,1728,+,11013233,Not Applicable
NFE2L2,4780,HBB,3043,Unknown,15206576,Not Applicable
NFE2L2,4780,NQO1,1728,+,11013233,Not Applicable
NFE2L2,4780,NQO1,1728,-,22459801,Not Applicable
NFE2L2,4780,NQO1,1728,Unknown,11035254,Not Applicable
NFE2L2,4780,SDHB,6390,Unknown,9492280,Not Applicable
NFE2L2,4780,SOD1,6647,+,22493435,Not Applicable
NFKB1,4790,A2M,2,Unknown,11466367,Not Applicable
NFKB1,4790,AGT,183,Unknown,10628750;8613256,Not Applicable
NFKB1,4790,B2M,567,+,12480693,Not Applicable
NFKB1,4790,BCL3,602,+,11387332,Not Applicable
NFKB1,4790,CD74,972,Unknown,8164652,Not Applicable
NFKB1,4790,F3,2152,Unknown,11057875;11157486;19167713;9867853,Not Applicable
NFKB1,4790,FGF7,2252,Unknown,9869450,Not Applicable
NFKB1,4790,GADD45G,10912,Unknown,23681230,Not Applicable
NFKB1,4790,HAX1,10456,Unknown,19679660,Not Applicable
NFKB1,4790,IRF1,3659,+,18694960,Not Applicable
NFKB1,4790,IRF1,3659,Unknown,12077266,Not Applicable
NFKB1,4790,JUNB,3726,+,17018379,Not Applicable
NFKB1,4790,LPL,4023,+,20200316,Not Applicable
NFKB1,4790,LTC4S,4056,-,12574384,Not Applicable
NFKB1,4790,MADCAM1,8174,Unknown,15483224,Not Applicable
NFKB1,4790,MGMT,4255,Unknown,22675172,Not Applicable
NFKB1,4790,PDK4,5166,-,21625432,Not Applicable
NFKB1,4790,PPIG,9360,Unknown,19928584,Not Applicable
NFKB1,4790,PTGES,9536,+,17928629,Not Applicable
NFKB1,4790,S100A6,6277,+,12859951,Not Applicable
NFKB2,4791,CCL21,6366,+,20953353,Not Applicable
NFKBIA,4792,S100A6,6277,-,12859951,Not Applicable
NFYA,4800,DDIT3,1649,Unknown,20023394,Not Applicable
NFYA,4800,HBB,3043,Unknown,15833715,Not Applicable
NFYA,4800,SOX18,54345,+,18496767,Not Applicable
NFYB,4801,FOS,2353,Unknown,23595228,Not Applicable
NFYB,4801,HBB,3043,Unknown,15833715,Not Applicable
NFYB,4801,SOX18,54345,+,18496767,Not Applicable
NFYC,4802,FOS,2353,Unknown,23595228,Not Applicable
NFYC,4802,HBB,3043,Unknown,15833715,Not Applicable
