regulator,target
hsa-mir-16-5p,NEGR1
hsa-mir-16-5p,ANKRD36
hsa-mir-16-5p,AGRN
hsa-mir-16-5p,SLC35E2B
hsa-mir-16-5p,UQCC3
hsa-mir-17-5p,ACVR1B
hsa-mir-17-5p,AK1
hsa-mir-17-5p,B2M
hsa-mir-17-5p,CAV1
hsa-mir-17-5p,CPE
hsa-mir-17-5p,CYB5A
hsa-mir-17-5p,E2F2
hsa-mir-17-5p,E2F3
hsa-mir-17-5p,GPR183
hsa-mir-17-5p,F2R
hsa-mir-17-5p,FANCA
hsa-mir-17-5p,FASN
hsa-mir-17-5p,FOXC1
hsa-mir-17-5p,NR3C1
hsa-mir-17-5p,HIP1
hsa-mir-17-5p,ITGB8
hsa-mir-17-5p,KCNJ8
hsa-mir-17-5p,KRT10
hsa-mir-17-5p,MKI67
hsa-mir-17-5p,NBL1
hsa-mir-17-5p,PDGFB
hsa-mir-17-5p,PLAGL2
hsa-mir-17-5p,PRKCB
hsa-mir-17-5p,RORA
hsa-mir-17-5p,RPL37
hsa-mir-17-5p,RPS15A
hsa-mir-17-5p,RPS27A
hsa-mir-17-5p,SCD
hsa-mir-17-5p,UQCRFS1
hsa-mir-17-5p,MAP3K12
hsa-mir-17-5p,TNFRSF10B
hsa-mir-17-5p,HIST1H2BJ
hsa-mir-17-5p,TMSB10
hsa-mir-17-5p,MED12
hsa-mir-17-5p,SERF2
hsa-mir-17-5p,EHMT2
hsa-mir-17-5p,TMEM100
hsa-mir-17-5p,FEM1A
hsa-mir-17-5p,SORCS2
hsa-mir-17-5p,TMEM134
hsa-mir-17-5p,EGLN3
hsa-mir-17-5p,FAM129A
hsa-mir-17-5p,ARL9
hsa-mir-17-5p,LDHD
hsa-mir-17-5p,ANKRD52
hsa-mir-17-5p,SLC35E2B
hsa-mir-17-3p,ITGA5
hsa-mir-17-3p,POLR2A
hsa-mir-17-3p,PPP2R5D
hsa-mir-17-3p,RPL28
hsa-mir-17-3p,RPS16
hsa-mir-17-3p,HMGA2
hsa-mir-17-3p,SETD1B
hsa-mir-17-3p,FEM1A
hsa-mir-18a-5p,CAD
hsa-mir-18a-5p,NR3C1
hsa-mir-18a-5p,PDE4D
hsa-mir-18a-5p,MAPK13
hsa-mir-18a-5p,RORA
hsa-mir-18a-5p,SP100
hsa-mir-18a-5p,ZMYM3
hsa-mir-18a-5p,RABAC1
hsa-mir-18a-5p,KLHL3
hsa-mir-18a-5p,MXD3
hsa-mir-18a-5p,ZNF670
hsa-mir-18a-5p,RDH10
hsa-mir-19a-3p,GRB10
hsa-mir-19a-3p,MYCN
hsa-mir-19a-3p,NFIA
hsa-mir-19a-3p,RORA
hsa-mir-19a-3p,SCD
hsa-mir-19a-3p,TAF4
hsa-mir-19a-3p,TNFRSF10B
hsa-mir-19a-3p,PLXNC1
hsa-mir-19a-3p,WBP4
hsa-mir-19a-3p,KLHL3
hsa-mir-19a-3p,BEND3
hsa-mir-19a-3p,RASSF5
hsa-mir-19b-3p,GRB10
hsa-mir-19b-3p,NR3C1
hsa-mir-19b-3p,MYCN
hsa-mir-19b-3p,NFIA
hsa-mir-19b-3p,PDE4D
hsa-mir-19b-3p,RORA
hsa-mir-19b-3p,SCD
hsa-mir-19b-3p,TAF4
hsa-mir-19b-3p,TNFRSF10B
hsa-mir-19b-3p,ARHGAP11A
hsa-mir-19b-3p,PLXNC1
hsa-mir-19b-3p,WBP4
hsa-mir-19b-3p,KLHL3
hsa-mir-19b-3p,BEND3
hsa-mir-19b-3p,RASSF5
hsa-mir-19b-3p,EGLN3
hsa-mir-19b-3p,ANKRD52
hsa-mir-20a-5p,ACVR1B
hsa-mir-20a-5p,B2M
hsa-mir-20a-5p,CAV1
hsa-mir-20a-5p,CYB5A
