"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLN",49660.0233362579,0.197445164571109,0.0186858171263278,10.5665790923809,4.25742260677493e-26,2.77626528187793e-24
"SMYD1",28364.2421318377,-0.0205562419639767,0.0134525974153577,-1.5280500359365,0.126500115325601,0.173063516634479
"MYOM1",31989.660805401,0.00154814744151735,0.00989205616345819,0.156504109553714,0.875635680203975,0.900634112083616
"FLNC",20019.1129887292,-0.0844795703580478,0.0153653272907245,-5.49806514105595,3.83981094065016e-08,1.88395005331065e-07
"ATP5F1A",30049.6209566898,0.0321709100793893,0.00713107958942716,4.51136601070716,6.44114657417279e-06,2.0696091061927e-05
"RPS6",38077.5632880532,0.124354305399186,0.0195225772358722,6.36976890380476,1.89313230333352e-10,1.39650630656537e-09
"COL4A1",26481.3148562362,-0.0101268981519312,0.016320962501539,-0.620484125919426,0.534939101805429,0.602112347091257
"ENO1",25783.5768882031,-0.0289467676011971,0.0129374820591643,-2.23743441489008,0.025257961355196,0.0406451832171868
"RACK1",29762.4497948593,0.0293543742297453,0.0169405908498079,1.73278337751001,0.0831341784102193,0.119198764266361
"PPP1R12B",32480.6411614632,0.02326001291894,0.0199929189205238,1.16341255678591,0.244662157332679,0.307911208716858
"NES",18686.5641802452,-0.0525403512946733,0.0142671725521934,-3.68260432138642,0.000230863344803173,0.000559027059584661
"DDX17",25505.6333412686,-0.0358664293174908,0.0149861872918553,-2.39329915067748,0.0166976206202482,0.0280885293601545
"RPL3",27152.9145701718,-0.000474235020516789,0.00988246668680315,-0.0479875152172356,0.961726192557928,0.969765896816629
"HSP90AB1",21726.9128688087,-0.0586389689683532,0.00764450883857351,-7.67073074367659,1.71019213240503e-14,2.48932207486901e-13
"MT-ATP8",25952.1431331746,-0.00561194313134856,0.0154071525318246,-0.364242719071981,0.715676769555663,0.766326471965924
"SPTBN1",24092.1876609414,-0.041767901816513,0.0157733877195983,-2.64799817002004,0.00809699635124648,0.0146140970858961
"EIF4G2",20634.7205499181,-0.0155431079502299,0.0142140326299466,-1.09350445119165,0.274172375724133,0.33944903400362
"HSPG2",14901.8364765255,-0.181297823611575,0.0311070179859362,-5.82819682984533,5.60294714552846e-09,3.18542444080131e-08
"RPS4X",25175.315473536,0.0684196007157019,0.019647521541675,3.48235275225809,0.000497028483491234,0.0011269550559271
"COL18A1",16598.7827299757,-0.13032315606457,0.0138305409436607,-9.42285313318166,4.38993913576876e-21,1.72971559542889e-19
"TNNT2",23005.2342804188,-0.0458419732152692,0.0214940196899876,-2.13277804135554,0.0329429384046383,0.0517017813084589
"MDH1",27129.2998564142,0.110612436770322,0.0122750637491419,9.01114967961411,2.03907500731378e-19,6.34692511823064e-18
"MYH6",17970.4011226205,-0.223148903912902,0.0352147013651331,-6.33681091312184,2.34569570409443e-10,1.70622216245396e-09
"DES",49921.5052223984,0.233525147030812,0.0226041792884272,10.3310606437444,5.09935767464491e-25,3.02299194512359e-23
"HSP90AA1",26183.1665934618,0.0886797968716185,0.0280147854411483,3.1654640746013,0.00154835780885158,0.00321710312266261
"MT-RNR1",42501.6371740991,0.142109086636607,0.0218411086619648,6.50649602252484,7.69239385279161e-11,6.03187269844355e-10
"SPARC",26389.8284306681,0.0542439969337607,0.00919873606502065,5.89689676389676,3.70401437054844e-09,2.1604541780274e-08
"FSTL1",19964.1379376947,-0.021027373802903,0.0122491431199262,-1.71664038839556,0.0860448981767511,0.122845929066359
"MYL6",28578.5799023319,0.107063173374027,0.0241484744382528,4.43353776437454,9.2699261079765e-06,2.89715735203042e-05
"FABP3",35128.2692202339,0.16936357254003,0.0234534361777844,7.22126903947895,5.15046391720778e-13,5.79571616982087e-12
"SLC25A3",21261.4290891123,0.0332199952833207,0.00800086005790721,4.15205303465963,3.29505873392804e-05,9.26366803360413e-05
"HSPB1",40471.3630518999,0.199297875885423,0.0274983235495483,7.24763731601,4.24104406847405e-13,4.84765089754939e-12
"NAP1L1",21112.2051101184,0.035621758780121,0.015392067631202,2.31429328623209,0.0206516398228527,0.0339388465939573
"FBN2",16607.2825774577,-0.0638217431143318,0.0163761391736618,-3.89723990725348,9.72952250982417e-05,0.000251770699549855
"HSPA8",20514.8363267774,0.014408042956868,0.0146129610601405,0.985976962339863,0.324144417938984,0.392816530269488
"LAPTM4B",19439.3477868436,0.00732141604472041,0.0115032118948264,0.636467111243361,0.524472010802235,0.591965726082453
