ID,Accession,Target,TargetID,Experiment,Literature,Tissue
NFKB1,4790,ABCG2,9429,+,10342828,Not Applicable
NFKB1,4790,ADORA1,134,+,9547356,Not Applicable
NFKB1,4790,BCL2L1,598,+,12226754;14978135;15756023;15856023;15986355;16904634;18223231;20066113,Not Applicable
NFKB1,4790,BCL2L1,598,-,15231833,Not Applicable
NFKB1,4790,BCL2L1,598,Unknown,10733571;10925251;12176906;14739605;16453001;17673602;18222423,Not Applicable
NFKB1,4790,BIRC2,329,+,12010810;15756023,Not Applicable
NFKB1,4790,BIRC2,329,-,18566231,Not Applicable
NFKB1,4790,BIRC2,329,Unknown,12687011;15050749;16453001;17673602;20103608,Not Applicable
NFKB1,4790,CD83,9308,+,19164127,Not Applicable
NFKB1,4790,CD83,9308,Unknown,12182451,Not Applicable
NFKB1,4790,CREB3,10488,Unknown,17296613,Not Applicable
NFKB1,4790,FOXO3,2309,Unknown,19299143,Not Applicable
NFKB1,4790,GADD45G,10912,Unknown,23681230,Not Applicable
NFKB1,4790,GFAP,2670,+,16516312,Not Applicable
NFKB1,4790,GFAP,2670,Unknown,20471977,Not Applicable
NFKB1,4790,GSTP1,2950,+,15013838,Not Applicable
NFKB1,4790,HES1,3280,Unknown,17876798,Not Applicable
NFKB1,4790,ICAM1,3383,+,10092659;10946302;11463837;11877286;16317091;16385502;17121934;19074768;20173029;22001597;22708120;9733827;9916895,Not Applicable
NFKB1,4790,ICAM1,3383,Unknown,10738944;10837365;10926553;11198351;11401521;12490396;12691701;15480988;15800027;15843586;16105834;16453001;18285351;18928584;20103608;9192770,Not Applicable
NFKB1,4790,LTC4S,4056,-,12574384,Not Applicable
NFKB1,4790,MGMT,4255,Unknown,22675172,Not Applicable
NFKB1,4790,NAMPT,10135,+,16701870,Not Applicable
NFKB1,4790,NCOR1,9611,Unknown,17876798,Not Applicable
NFKB1,4790,NFKB1,4790,Unknown,19469019,Not Applicable
NFKB1,4790,NOS2,4843,+,15350552;17081374;17720813;18057724,Not Applicable
NFKB1,4790,NOS2,4843,Unknown,11438703;15170030;16283237;16318585;19766095,Not Applicable
NFKB1,4790,RIPK2,8767,+,19693652,Not Applicable
NFKB1,4790,RRM2B,50484,Unknown,11978967,Not Applicable
NFKB1,4790,SQSTM1,8878,Unknown,9762895,Not Applicable
NFKB1,4790,TNFSF10,8743,+,11544302;20542572,Not Applicable
NFKB1,4790,TNFSF10,8743,-,11544302,Not Applicable
NFKB1,4790,TNFSF10,8743,Unknown,21243522,Not Applicable
NFKB1,4790,TRAF2,7186,+,15041463,Not Applicable
