"","logFC","pvalue","padj","piValue","rank"
"LINC01936",0.253663579532101,4.00518077993755e-27,2.79334586801848e-25,24.5538752872592,82
"GCK",0.196102703403332,4.79466795785862e-27,3.30857457705778e-25,24.4803590716779,83
"CDC37L1",0.103003111321337,8.57765683258094e-27,5.88788423213266e-25,24.2300407377059,84
"VWC2",0.13843658120538,9.45130248721997e-27,6.45360665122109e-25,24.1901975084719,85
"C1R",0.222085399463611,1.02932689930525e-26,6.99191740663493e-25,24.1554037105302,86
"NR3C1",0.171347461254504,1.71984457865395e-26,1.15026733306691e-24,23.9392012137479,87
"AQP1",0.144978278554074,2.39747928381399e-26,1.59530228670929e-24,23.7971570122864,88
"CDK18",0.283852356097086,3.42611202770114e-26,2.25673500329688e-24,23.64651943488,89
"PLN",0.197445164571109,4.25742260677493e-26,2.77626528187793e-24,23.5565390378745,90
"PRKAA2",0.137358517900776,4.40586565025417e-26,2.85877113485646e-24,23.5438206116401,91
"PLPP7",0.222545863463043,4.80593161184668e-26,3.10291881592596e-24,23.5082295870509,92
"RNF152",0.17876585424553,5.58204665164622e-26,3.58625874043202e-24,23.4453583802819,93
"LGALS3",0.235887180062015,7.10311545966111e-26,4.54111920710295e-24,23.3428370974588,94
"LPL",0.18742264401066,1.32940996527649e-25,8.2562689367314e-24,23.0832161689344,95
"RAMP1",0.324962963015167,2.5919001492824e-25,1.58702167826015e-23,22.7994171408668,96
"LRRC39",0.164678934046237,2.83604131735517e-25,1.72839490004421e-23,22.7623570238269,97
"IGFBP7",0.163959450274313,3.7399153984278e-25,2.26174022172842e-23,22.6455572786098,98
"OTUD1",0.133885945964399,3.74586633870065e-25,2.26174022172842e-23,22.6455572786098,99
"APOL6",0.184257050208857,3.93134230820118e-25,2.3627910775834e-23,22.6265746778022,100
"DES",0.233525147030812,5.09935767464491e-25,3.02299194512359e-23,22.5195630100147,101
"LUM",0.255566893025576,9.74667294354725e-25,5.64960482354414e-23,22.247981928987,102
"PTP4A3",0.142983850130412,9.74639548948457e-25,5.64960482354414e-23,22.247981928987,103
"BBS9",0.19064429424559,4.76152955151273e-24,2.65384053037731e-22,21.5761251774994,104
"CAV1",0.13530105816753,6.09034309851894e-24,3.33740565928084e-22,21.4765910019518,105
"SSPN",0.185677050187239,6.71745909379907e-24,3.66565278248232e-22,21.4358486746148,106
"APOD",0.237146240050342,8.23861957143257e-24,4.44000315911668e-22,21.3526167208794,107
"GLUL",0.13187198664599,9.24514684808574e-24,4.94160677019402e-22,21.3061318166696,108
"DLK1",0.394729072423382,1.36873335021912e-23,7.22713374637965e-22,21.1410339080913,109
"NRAP",0.402848303584582,2.88630234188817e-23,1.48201398200415e-21,20.8291476990027,110
"TSPAN12",0.162436318721384,4.4505732943865e-23,2.23679728128104e-21,20.650373373798,111
"KBTBD3",0.148819519341399,4.45918795532181e-23,2.23679728128104e-21,20.650373373798,112
"FAM229B",0.232005368837669,4.80381230884765e-23,2.39127176076302e-21,20.6213710648324,113
"TRIM63",0.121953036243781,7.62986479794625e-23,3.69920805556933e-21,20.4318912418545,114
"MPC2",0.140952261049947,1.32027462985979e-22,6.2843144973107e-21,20.2017420889044,115
"TM4SF18",0.175252891968576,1.43136307502716e-22,6.75971415404857e-21,20.1700716685471,116
"AC018464.1",0.268164877322022,1.54277434575172e-22,7.23772050981796e-21,20.1403981915217,117
"GLRX",0.156282835288406,1.88325586152891e-22,8.67894803747703e-21,20.0615329118288,118
"KANK3",0.144114399050522,2.58476775450266e-22,1.1664547077586e-20,19.9331321197527,119
"A2M",0.170220940636252,2.73345463272166e-22,1.22507612783353e-20,19.9118369228335,120
"RRAGC",0.130160600144793,4.0731561753554e-22,1.78862299121162e-20,19.7474811910655,121
"COX6A2",0.399089839301358,4.30954384555397e-22,1.88607620247365e-20,19.724440764597,122
"UBTD1",0.174063484702498,4.41932985135209e-22,1.92765551576368e-20,19.7149705746708,123
"MTIF3",0.13144078912623,5.69253000743208e-22,2.45834358797779e-20,19.6093574184656,124
"RHOQ",0.122724198989797,7.49256510452245e-22,3.1829978531981e-20,19.4971636542928,125
"WASHC3",0.15554146631253,9.6307748865308e-22,4.02578737404278e-20,19.3951491665359,126
"CBX7",0.117907779314333,1.41979883632591e-21,5.87841791217859e-20,19.2307395420298,127
"LYNX1",0.208248538909397,1.7129548313191e-21,7.04743120191285e-20,19.151969155084,128
"FAM129A",0.279582496381746,2.41136818181381e-21,9.80817958945265e-20,19.0084115907463,129
"S100A6",0.27747178406987,2.41406659117796e-21,9.80817958945265e-20,19.0084115907463,130
"B2M",0.146572696835454,2.93324548854923e-21,1.18437732698635e-19,18.9265099150779,131
"SLC33A1",0.101008488714344,3.37631199641735e-21,1.34249576394131e-19,18.8720870759821,132
"ZNF106",0.125238591973459,3.7025097987707e-21,1.46772440108108e-19,18.8333554855142,133
"SDHD",0.133693064920113,4.60411855773848e-21,1.80864199488028e-19,18.7426473894889,134
"GYPC",0.154198784198715,5.07426251499109e-21,1.97547855882131e-19,18.7043276796429,135
"KLF15",0.140499027023512,5.24986286985456e-21,2.03775927228105e-19,18.6908471220445,136
"TCEAL1",0.111301673157364,5.8070086826207e-21,2.24068068753666e-19,18.6496200290167,137
"SELENOK",0.140598046855313,6.09763051599471e-21,2.34440933988009e-19,18.6299665571035,138
"NMRK2",0.269405311852437,6.993508059605e-21,2.6747604725328e-19,18.5727151034053,139
"CRYAB",0.251880454262357,7.49077881361175e-21,2.85657126570539e-19,18.5441549366948,140
"MGST3",0.169662973671757,7.84975660055013e-21,2.97606179024345e-19,18.5263580560283,141
"AC022034.1",0.294843919459339,1.0963925208868e-20,4.07383226706715e-19,18.389996856285,142
"TESC",0.259470894872746,1.54011054740361e-20,5.59501998864565e-19,18.2521983575819,143
"HAND2-AS1",0.114286025802243,1.6565954315555e-20,6.00147711620746e-19,18.2217418455386,144
"NECAB1",0.14061672839518,1.75867334244233e-20,6.33608224644553e-19,18.1981791939587,145
"ITM2A",0.16175293915549,1.88334775530037e-20,6.74797291885367e-19,18.1708266690017,146
"MARCH3",0.178981380762903,1.97911369386309e-20,7.07167145078421e-19,18.1504779248086,147
"CEBPD",0.222018180550252,2.43327537472666e-20,8.55384836581808e-19,18.0678384527549,148
"PPP1R1B",0.234595538261983,2.76818154517275e-20,9.67898759038686e-19,18.0141700669584,149
"NFU1",0.130897257117131,3.21174907215913e-20,1.11700350397598e-18,17.9519454645254,150
"CARNS1",0.191934580348292,3.53692807543524e-20,1.22033375555096e-18,17.9135213755786,151
"AC011346.1",0.201838424236987,3.58756218912138e-20,1.23453789104277e-18,17.9084955759481,152
"TNNI3K",0.166092168927136,3.67947252899715e-20,1.2628337032416e-18,17.898653835921,153
"SDHB",0.114261820639038,4.01846261489588e-20,1.37555877751895e-18,17.8615208475086,154
"SCN2B",0.165658882574239,4.06471226517233e-20,1.38412473531012e-18,17.8588247701279,155
"VSIR",0.148376674791817,4.16920845773917e-20,1.41601085171443e-18,17.8489334183824,156
"ANKRD37",0.186138308370179,4.21157824929749e-20,1.42668580590488e-18,17.8456716595314,157
"GSDMD",0.183980819845927,4.67011855645815e-20,1.56978572714761e-18,17.8041596239399,158
"CLGN",0.213506013106518,5.36278630683852e-20,1.79337074394328e-18,17.7463299193588,159
"IRAK1BP1",0.14236997321997,7.26332831600748e-20,2.41653897697371e-18,17.6168061956221,160
"AC010980.1",0.140144521658545,1.01245041931565e-19,3.31768300721474e-18,17.4791651116191,161
"DIRAS1",0.187116851444847,1.12272180804074e-19,3.66980897756075e-18,17.4353565412385,162
"COQ3",0.118520344224291,1.16850320338649e-19,3.80990469464165e-18,17.4190858881325,163
"CAVIN2",0.143637139969349,1.21603029279621e-19,3.95497932135865e-18,17.4028557828726,164
"GAB3",0.106635680899278,1.23014357822487e-19,3.99092849433055e-18,17.3989260534227,165
"UACA",0.114203472850743,1.2443336412024e-19,4.02380354911623e-18,17.3953632306404,166
"MT-TP",0.263880695359991,1.35459832875863e-19,4.36214108732593e-18,17.3603002918852,167
"MACROD1",0.216293006946384,1.38549038014684e-19,4.45063190588057e-18,17.351578323007,168
"TTC39B",0.107310743001195,1.44757277202419e-19,4.60469368115597e-18,17.3367992551541,169
"COMMD3",0.184605287058822,1.47196652226221e-19,4.67089717356294e-18,17.3305996932872,170
"PARP10",0.164276724658112,1.6725727492611e-19,5.25631175803933e-18,17.2793188841673,171
"ANKRD9",0.159545054380407,1.85425878730588e-19,5.8132795923181e-18,17.2355787889513,172
"AC097359.2",0.172631587187587,1.90395324356573e-19,5.95476215889311e-18,17.225135580133,173
"COX7A1",0.331334649121156,1.92884504618077e-19,6.01818112255731e-18,17.2205347459174,174
"MDH1",0.110612436770322,2.03907500731378e-19,6.34692511823064e-18,17.1974366255132,175
"PLGRKT",0.132550128516509,2.72364697961239e-19,8.41748907774994e-18,17.0748174384654,176
"NDUFB4",0.166806407417372,2.88298890149437e-19,8.86791067294564e-18,17.0521786902127,177
"CD59",0.101506910566323,3.32602071207963e-19,1.01826202175922e-17,16.9921404538637,178
"KLF5",0.129595321134883,4.5160582272638e-19,1.36197982572955e-17,16.8658293253448,179
"CHADL",0.212515926766352,4.53788149979451e-19,1.36197982572955e-17,16.8658293253448,180
"CDKN2D",0.183437808500487,4.93551405148576e-19,1.47635262063021e-17,16.8308099007082,181
"COX7B",0.199577992823109,4.96193821038422e-19,1.48086036933252e-17,16.8294858892757,182
"MFGE8",0.118858827728004,5.30352707701138e-19,1.57559453618183e-17,16.8025555338988,183
"MSRB1",0.133265038768321,6.17308348119568e-19,1.81736692464456e-17,16.7405573801985,184
"MSS51",0.15286784269657,6.28271908170644e-19,1.84547797891026e-17,16.7338911326384,185
"PACSIN3",0.166134687009632,6.42921615584211e-19,1.88426600234815e-17,16.7248577877441,186
"LRRC52-AS1",0.217472662821826,6.6042880523391e-19,1.92691554314556e-17,16.7151373200875,187
"DHRS3",0.149338822800619,7.36052131025045e-19,2.13799374005092e-17,16.66999357072,188
"SMIM30",0.13415693484834,7.51496079258711e-19,2.17317336268118e-17,16.6629056268996,189
"SMOC2",0.192839507256924,7.76631149335278e-19,2.23594336636439e-17,16.6505392007798,190
"CACNB2",0.117440575988144,8.93487644570234e-19,2.54429385600109e-17,16.5944327308107,191
"LMOD3",0.314039718431892,9.17139291112761e-19,2.60028926841144e-17,16.5849783363804,192
"AP1S2",0.104918709354113,1.02044706811105e-18,2.87444290762513e-17,16.541446312918,193
"AGT",0.162495763826075,1.02521401722443e-18,2.8754497231486e-17,16.5412942215804,194
"PNMA6A",0.24040850755277,1.02827441717238e-18,2.87784440960562e-17,16.5409326898561,195
"NDUFS4",0.186128725325281,1.09355798239826e-18,3.04747504411071e-17,16.5160598421491,196
"TMEM159",0.168530361034915,1.10976365980004e-18,3.08604214309428e-17,16.5105981474925,197
"ALCAM",0.193671427452223,1.17536989339794e-18,3.25460173029636e-17,16.4875021490058,198
"SPX",0.138856019322607,1.25370581024545e-18,3.44954244245172e-17,16.4622385072157,199
"EEF1D",0.117437037962804,1.26795355587859e-18,3.48140005805654e-17,16.4582460677748,200
"APLN",0.187575872694046,1.37366720699978e-18,3.74575302609201e-17,16.4264608609547,201
"KLHL40",0.265870926108587,1.37572128469412e-18,3.74575302609201e-17,16.4264608609547,202
"SNTB1",0.182089911402843,1.61590485700411e-18,4.36327766978212e-17,16.3601871485495,203
